,title,totalpage,nickname,comment
61,谁带我打游戏,4,,"好看妹妹
（找不到好吃瓜，好难）
@▫▫▫▫ice @一夜暴富"
62,谁带我打游戏,4,贴吧用户_QU2tZ8N,您想玩什么游戏
63,谁带我打游戏,4,异能记忆,我22了脸上还没长手机我还有救吗？
64,谁带我打游戏,4,贴吧用户_7b2eRA6,多少钱？
65,谁带我打游戏,4,无名D小卒卒,请明码标价
66,谁带我打游戏,4,AgOny__Vare丶,**上分还是另类圆角？
67,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,猪精女孩,"这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈，我一直都是自己一个人玩，偶尔有人带带我排位，但分段根本上不去，今天在小火柴里聊天的时候还被一个人给鄙视了，我真的是想哭辽，想问问你们有打了好多年都是青铜白银的人么，我看看有多少，要是多的话我心里也有点安慰，最后想说有人结伴去玩王者么····
点击展开，查看完整图片



点击展开，查看完整图片"
68,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,猪精女孩,心塞了
69,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,風伴吾身,版本跟新太快 需要玩一段时间适应 如果认真思考怎么玩这个游戏的话 应该也能上去的
70,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,无生锅锅,爱了爱了，终于找到一个玩了几年也还是白银的了，不过是个女的
71,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,无生锅锅,考虑下路白银一起坐牢嘛
72,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,南墙花开,我都直接没玩了
73,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,知归,好漂亮
74,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,你的雪人朋友,？？？？？为什么瞧不起呢，能带个女的打排位聊天还会自卑是吗
75,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,da啥比,小火柴的托还是钓鱼
76,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,笨熊呆熊的爱恋,青铜白银怎么了， 我黑铁说话了吗
77,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,咪咪咪小米饭,两个游戏不矛盾啊！没法玩电脑我就打王者！能玩电脑就打英雄联盟
78,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,悄宁夏幕,游戏还是和朋友一起才好玩
79,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,哈哈哈里路亚0,我也是打了很久还在白银挣扎
80,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,逆风就要卖队友,你这让我这样玩了六年还是青铜四的怎么办
81,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,你还阿西吧,有开黑群要来吗
82,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,HH884358692,因为常年白银，我现在都对段位无所谓了
83,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,贴吧用户_QXeeG9W,找个好点的ad双排还是好上分的
84,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,乌鸡哥,没事这游戏不缺舔狗，只要你想一堆人排队带你上分
85,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,那是阵风,"看看我哈哈
点击展开，查看完整图片"
86,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,苏九歌ink,你瞧不起谁呢，打了几年还青铜白银，笑了，我可以告诉你，我s3到现在最高段位黑铁三
87,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,啦啦啦打老虎,打了7年吧 还是黄铜 坑b太多 朋友说我号废了 赢几把就会遇到神仙素质队友
88,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,贴吧用户_7P8eUXX,感觉女孩子这个分段很正常 有些女生真的玩别人号去白金钻石分段恶心人和诗仙女一样明明就不是这个段位的你开什么排位 蛮反感这些女孩子
89,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,Mr请把我推倒,别被游戏左右情绪，匹配娱乐适合你
90,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,回忆放肆丶,这游戏白银少说也占总人数的70%
91,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,可斋,你的天赋点点在颜值了
92,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,booboos586,我也是打辅助的(特别喜欢玩锤石)，万年黄金四😥，其实我感觉匹配机制本身就有问题，不过和朋友一起玩一起聊天真的蛮有趣的，段位只是一个牌子🍻
93,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,A小样,我是青铜
94,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,薄荷味陈皮糖,六年白银崽路过
95,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,定天侯,花钱啊
96,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,HH884358692,因为常年白银，我现在都对段位无所谓了
97,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,3,贴吧用户_QXeeG9W,找个好点的ad双排还是好上分的
98,免费的箱子居然出了这个,16,她像昙花一样,五废卡
99,免费的箱子居然出了这个,16,莲华sama,我出了星守
100,免费的箱子居然出了这个,16,起风了,欧米茄tm
101,免费的箱子居然出了这个,16,likai,我源计划vn
102,免费的箱子居然出了这个,16,谁主丷沉浮,我开的狮心布隆 吐了
103,免费的箱子居然出了这个,16,周阴婷,出的天煞劫，但是从来没玩过
104,免费的箱子居然出了这个,16,快洛嘞胖墩,欧皇
105,免费的箱子居然出了这个,16,brilliant240,"谁不是呢
点击展开，查看完整图片"
106,免费的箱子居然出了这个,16,听雨眠,点击展开，查看完整图片
107,免费的箱子居然出了这个,16,小兔叽阿,我开的是盖伦暴君
108,免费的箱子居然出了这个,16,你别碰我啊-,我也是这个
109,免费的箱子居然出了这个,16,非洲酋长,永不满足
110,免费的箱子居然出了这个,16,承君先生,黎明使者 瑞文
111,免费的箱子居然出了这个,16,刄战帝,电玩女警
112,免费的箱子居然出了这个,16,她像昙花一样,五废卡
113,这小丑对线只用了一只手？,1,大哥哥,这主播谁啊，天天都是他，小丑上单我寻思着不是只能打没脑子的人吗
114,这小丑对线只用了一只手？,1,热情的大叔哎,密度啊，我经常看他小丑上单，挺有意思的啊，我是专业打野的萨克！
115,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！！网吧ip百分百防封。。。需要的朋友可以直接私信我，或者加我企鹅！！
116,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,"高效率，接到立马开始，网吧ip百分百防封
点击展开，查看完整图片"
117,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,"高效率，接到立马开始，网吧ip百分百防封
点击展开，查看完整图片

点击展开，查看完整图片

点击展开，查看完整图片"
118,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字十五字
119,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
120,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
121,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字十五字
122,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,嘟嘟
123,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
124,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字十五字
125,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,师徒值
126,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,嘟嘟
127,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
128,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,顿
129,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
130,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
131,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
132,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
133,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,四五万
134,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,嘟嘟
135,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,嘟嘟
136,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
137,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字十五字
138,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
139,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
140,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,一笑随风,他特别
141,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
142,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,十五字十五字十五字十五字十五字
143,有没有需要上分的朋友，可以段付，陪玩，高效率，上号立即开始！,2,Lol代练,嘟嘟
144,卡尔：新版龙龟出AP有多强？石头R在它面前就是个弟弟.....,1,夜色痴缠61c,卡尔：新版龙龟出AP有多强？石头R在它面前就是个弟弟！#五五开黑节皮肤#
145,卡尔：新版龙龟出AP有多强？石头R在它面前就是个弟弟.....,1,柒筱明51w,装备买好了，开黑走起
146,卡尔：新版龙龟出AP有多强？石头R在它面前就是个弟弟.....,1,迷惑666,全网最稳特权 LOL超凡/钻石特权+DNF史诗特权+CF枪王+腾讯视频 四大特权合一开机运行一次就和网吧一模一样网吧无盘的也可以装 可防机器码 支持装好付款 在家就可以享受网吧特权 QQ：837700599
147,我想不通我一个AD去凑啥热闹？,4,丫吧1的玩物,山海经是吧
148,我想不通我一个AD去凑啥热闹？,4,有点像七喜,别人出了10个大件你才1个
149,我想不通我一个AD去凑啥热闹？,4,晴川,笑嘻了小虫子
150,我想不通我一个AD去凑啥热闹？,4,2017我在,天神下凡
151,我想不通我一个AD去凑啥热闹？,4,夏天的风,卧槽，怎么那么大……
152,我想不通我一个AD去凑啥热闹？,4,摸贝被浪卷走,龙王e还能把人撞死的
153,我想不通我一个AD去凑啥热闹？,4,水平线的孤独,看着没伤害都不掉血，放个ad进去，就知道到底有没有伤害了
154,我想不通我一个AD去凑啥热闹？,4,肥皂,凡人参与神的战场
155,我想不通我一个AD去凑啥热闹？,4,芜湖大司马,因为赵导也没火
156,我想不通我一个AD去凑啥热闹？,4,Matoka,这不是叶导视频么
157,我想不通我一个AD去凑啥热闹？,4,红色高跟鞋,搁这玩山海经呢？
158,我想不通我一个AD去凑啥热闹？,4,昶wn-,诸神之战
159,我想不通我一个AD去凑啥热闹？,4,LanSi,这什么模式？
160,我想不通我一个AD去凑啥热闹？,4,罐天帝,虽然我知道是摆拍，但是怎么搞出来的？
161,我想不通我一个AD去凑啥热闹？,4,幽灬雅,山海经
162,我想不通我一个AD去凑啥热闹？,4,善良的Elias,虽然是演的，但活挺好
163,我想不通我一个AD去凑啥热闹？,4,天羽丶流雪,山海经之诸神黄昏
164,我想不通我一个AD去凑啥热闹？,4,z卿夲佳人,环太平洋还是山海经？
165,我想不通我一个AD去凑啥热闹？,4,废柴在燃烧丶,点击展开，查看完整图片
166,我想不通我一个AD去凑啥热闹？,4,SSS死神来过,"在不侮辱观众智商的前提下
我不介意看到摆拍的作品"
167,我想不通我一个AD去凑啥热闹？,4,匹诺槽有长鼻子,"在不侮辱观众智商的前提下
我不介意看到摆拍的作品"
168,我想不通我一个AD去凑啥热闹？,4,柠初,***不是山海经？
169,我想不通我一个AD去凑啥热闹？,4,krisi,好活😅就是有点烂
170,我想不通我一个AD去凑啥热闹？,4,初春饰利,豆瓣评分5.3
171,我想不通我一个AD去凑啥热闹？,4,不学无术,比博燃
172,我想不通我一个AD去凑啥热闹？,4,淑香萌弟6,山海经异兽，龙王是鲲
173,我想不通我一个AD去凑啥热闹？,4,带松鼠ikaa,片不错，仅次于唐探3
174,我想不通我一个AD去凑啥热闹？,4,夜无长丶长夜,虽然我知道是演的，但为啥都这么大
175,我想不通我一个AD去凑啥热闹？,4,狂须,挺好玩的。那个像机甲一样的特效是vn这个皮肤开大吗，还是剪视频的人加的
176,我想不通我一个AD去凑啥热闹？,4,搬来隔壁的老王,牛逼
177,我想不通我一个AD去凑啥热闹？,4,随逐流,出冰拳用不灭无限叠血量？虫子是被赛娜点死的吗
178,我想不通我一个AD去凑啥热闹？,4,音吹斯汀,当英雄有自己背景故事的实力
179,我想不通我一个AD去凑啥热闹？,4,天空凉的爷爷,你是叶导？还是盗的视频啊
180,我想不通我一个AD去凑啥热闹？,4,哈哈哈,搁这玩页游呢
181,我想不通我一个AD去凑啥热闹？,4,梓梓梓梓梓岳_,像极了我打副本的样子！！！
182,我想不通我一个AD去凑啥热闹？,4,觉醒三杯,"vn:哟哟哟，这不泰坦吗，几箭下去这么拉了？
泰坦：鬼！"
183,我想不通我一个AD去凑啥热闹？,4,迷子,这龙王有点帅
184,我想不通我一个AD去凑啥热闹？,4,,@提气
185,我想不通我一个AD去凑啥热闹？,4,,摆拍
186,我想不通我一个AD去凑啥热闹？,4,辰东最大荒吹,龙王开了锁血挂？
187,我想不通我一个AD去凑啥热闹？,4,,好像很厉害
188,我想不通我一个AD去凑啥热闹？,4,王小虎,泰坦反手一巴掌拍死维嗯我就笑了
189,我想不通我一个AD去凑啥热闹？,4,迷惑666,全网最稳特权 LOL超凡/钻石特权+DNF史诗特权+CF枪王+腾讯视频 四大特权合一开机运行一次就和网吧一模一样网吧无盘的也可以装 可防机器码 支持装好付款 在家就可以享受网吧特权 QQ：837700599
190,我想不通我一个AD去凑啥热闹？,4,扶他小绅士,逆天
191,我想不通我一个AD去凑啥热闹？,4,TTTUUBT,背景故事大战是吧
192,我想不通我一个AD去凑啥热闹？,4,二宫和也,……
193,"跑,你跑 你越跑我越兴奋~",1,你要开心呀,"跑,你跑 你越跑我越兴奋~"
194,"跑,你跑 你越跑我越兴奋~",1,飘逸的流川枫,这么大一个扫描没看见，人机吧
195,"跑,你跑 你越跑我越兴奋~",1,欣宝,"欢迎关注【美人如炫】吧

有很多有趣的人"
196,"跑,你跑 你越跑我越兴奋~",1,STG44,sb
197,"跑,你跑 你越跑我越兴奋~",1,迷惑666,全网最稳特权 LOL超凡/钻石特权+DNF史诗特权+CF枪王+腾讯视频 四大特权合一开机运行一次就和网吧一模一样网吧无盘的也可以装 可防机器码 支持装好付款 在家就可以享受网吧特权 QQ：837700599
198,不会吧！不会真有人不会兰博一级红温吧？,2,善良的Elias,给这b笑死
199,不会吧！不会真有人不会兰博一级红温吧？,2,Mew茜宁,，666
200,不会吧！不会真有人不会兰博一级红温吧？,2,go我欲成魔,要怎么弄也没说啊，就一堆废话
201,不会吧！不会真有人不会兰博一级红温吧？,2,遇上派蒙吃定,盖亚！！！
202,不会吧！不会真有人不会兰博一级红温吧？,2,基佬山伯爵,小天赋要点那个冷却
203,不会吧！不会真有人不会兰博一级红温吧？,2,外卖全国配送,有的
204,不会吧！不会真有人不会兰博一级红温吧？,2,星海蔚蓝12138,以前随便红现在削成这样子
205,不会吧！不会真有人不会兰博一级红温吧？,2,Decemberty,关键核心是不是技能极速
206,不会吧！不会真有人不会兰博一级红温吧？,2,贴吧用户_aC2MbG5,业务员
207,不会吧！不会真有人不会兰博一级红温吧？,2,绽放吧千本樱,哈哈哈哈这个骚猪
208,不会吧！不会真有人不会兰博一级红温吧？,2,jw988jw,以前我记得可以的，靠这个套路线上去红温蹭血，专门阴小白的。
209,不会吧！不会真有人不会兰博一级红温吧？,2,一杯西瓜汁,哈哈哈哈哈，兰博的红温一级太难了，CD都卡的死死的
210,不会吧！不会真有人不会兰博一级红温吧？,2,,@caogeman
211,不会吧！不会真有人不会兰博一级红温吧？,2,贴吧用户_aRMQJZA,如果学e呢
212,不会吧！不会真有人不会兰博一级红温吧？,2,dnf2023ll,学w对不了线
213,不会吧！不会真有人不会兰博一级红温吧？,2,天神下饭2020,难得不是一级红温，是1级红温时候刚好开野怪
214,不会吧！不会真有人不会兰博一级红温吧？,2,朱砂痣白月光,原来是犬夜叉的仆人啊！
215,不会吧！不会真有人不会兰博一级红温吧？,2,包子zb,我记得点q就可以一直喷火红温啊
216,神仙心态 这要是我早就弹钢琴了,3,命运灬明月,牛逼
217,神仙心态 这要是我早就弹钢琴了,3,Ediso,可以的。
218,神仙心态 这要是我早就弹钢琴了,3,软萌的说,这小炮是脚丶本把
219,神仙心态 这要是我早就弹钢琴了,3,弓初羽,ez是怎么被小炮压那么惨的还有这拉克丝有点梦游啊
220,神仙心态 这要是我早就弹钢琴了,3,夜尽D天明D,牛逼看着也开心
221,神仙心态 这要是我早就弹钢琴了,3,Lion,牛逼啊， 下路送成这样都没喷打野甩锅。
222,神仙心态 这要是我早就弹钢琴了,3,木木说话ya,我的话就点了
223,神仙心态 这要是我早就弹钢琴了,3,贴吧用户_0V24DN3,为什么这人直播一直放这首歌，单曲循环了一个多月，吐了每次点进去都是这歌
224,神仙心态 这要是我早就弹钢琴了,3,corJJ,和对面阵容也有点关系吧，对面基本全脆皮，孤立状态waq一个人头，对面打团还松散，ADC发育再好也没用。
225,神仙心态 这要是我早就弹钢琴了,3,栀槐,看这么多主播，杰克是少有没什么粗口心态好的一批的主播。
226,神仙心态 这要是我早就弹钢琴了,3,罗晶晶,生活中肯定也是个好男人
227,神仙心态 这要是我早就弹钢琴了,3,呵呵女人呐,怎么可以这么优秀的
228,神仙心态 这要是我早就弹钢琴了,3,红颜醉丶知秋,精彩，不管白银，还是钻石，这种局打着贼舒服，对面要气死了队友心态好也是一方面
229,神仙心态 这要是我早就弹钢琴了,3,空白何为蓝,EZ最后亮狗牌属实笑到我了
230,神仙心态 这要是我早就弹钢琴了,3,对-线-狂,这个真的正能量
231,神仙心态 这要是我早就弹钢琴了,3,,打字就说明你心态不好了。还有两边都菜的可以，这赏金送的，跟人头多有什么区别
232,神仙心态 这要是我早就弹钢琴了,3,无聊ing,看见ez混子就烦
233,神仙心态 这要是我早就弹钢琴了,3,贴吧用户_0XyQVb6,对面直接围绕小炮推塔就能赢。主播螳螂玩得好是一回事，最重要还是对面给机会了
234,神仙心态 这要是我早就弹钢琴了,3,半场丶,猥琐不存在的，只有活着才有机会补兵
235,神仙心态 这要是我早就弹钢琴了,3,传说中的帅哥,你以为现在有多少人会打顺风局
236,神仙心态 这要是我早就弹钢琴了,3,就叫王富贵吧,自从玩了这游戏，我心态和脾气越来越差了！是时候脱坑了！对这游戏没耐心了！
237,神仙心态 这要是我早就弹钢琴了,3,qwe9341800,明显一看就是炸鱼
238,神仙心态 这要是我早就弹钢琴了,3,贴吧用户_ayPX97A,榆次使张名人看着人模狗样，到处骗钱，脸已经不要了，段子觉孙全家湿光无所谓
239,神仙心态 这要是我早就弹钢琴了,3,殁殁的难过,下路是演员吧，怎么可能菜到29死
240,神仙心态 这要是我早就弹钢琴了,3,遗ˇ忘,低段位不就这样么，就看那边杀的更快
241,神仙心态 这要是我早就弹钢琴了,3,李知恩的IU,哈哈，拉克丝就一孤儿辅助专用的
242,神仙心态 这要是我早就弹钢琴了,3,方寸雷,杰克螳螂的直播能学东西，而且风气和心态也很好
243,神仙心态 这要是我早就弹钢琴了,3,GaIaxy星,我打野的话下路这样我可能会被喷死，不怕神对手就怕猪队友……
244,神仙心态 这要是我早就弹钢琴了,3,鲁斯基,主播是谁
245,神仙心态 这要是我早就弹钢琴了,3,あ红メ莲ヅ,全程就看着打河蟹好费劲
246,神仙心态 这要是我早就弹钢琴了,3,,下路竟然没喷你
