,0,1
50,兄弟们，上号发现还有100至臻点，请问是只能兑换这7个皮肤中,https://tieba.baidu.com/p/7346456072
51,求救,https://tieba.baidu.com/p/7346452863
52,寒冰被两个亡灵夹中间那下真惨,https://tieba.baidu.com/p/7293560435
53,阿木木过分了，也开始玩起来斧头，让奥拉夫情何以堪.,https://tieba.baidu.com/p/7331334006
54,你只缺一个机会 只缺一个平台 出国工作不能让你一夜暴富 但绝,https://tieba.baidu.com/p/7346445424
55,难道真的有能让别人掉线的挂吗,https://tieba.baidu.com/p/7147748043
56,错落的千家万户可以千年如故 我们却有走不完的路,https://tieba.baidu.com/p/7346444648
57,云顶手游S5 新赛季更新 宝典棋盘一条龙！,https://tieba.baidu.com/p/7324169393
58,下路双人组的正确打开方式,https://tieba.baidu.com/p/7340244288
59,不要使用wegame一键天赋，来自一个老玩家的忠告,https://tieba.baidu.com/p/7289640704
60,强颜欢笑的意思大概是笑着用最美的方式难受,https://tieba.baidu.com/p/7346441525
61,招聘英雄联盟玩家操作简单在家没事可以赚个零花钱有想法联系方式,https://tieba.baidu.com/p/7346440647
62,这蛮王E起手一看都是个傻....人如麻的高手,https://tieba.baidu.com/p/7339085531
63,脚本 希望能封号,https://tieba.baidu.com/p/7346436458
64,求助,https://tieba.baidu.com/p/7346433370
65,我们无从选择在时光里挣扎最后磨平了棱角,https://tieba.baidu.com/p/7346431644
66,这时候应该tp上去再把眼拆了,https://tieba.baidu.com/p/7339080190
67,直播开福袋,https://tieba.baidu.com/p/7343029810
68,蜕,https://tieba.baidu.com/p/7346428652
69,这就给我封了真够恶心的tx,https://tieba.baidu.com/p/7341774401
70,如果可能谁不想一生安稳,https://tieba.baidu.com/p/7346428140
71,前期这么费劲就是为了后期不比别的打野差？？？那我为啥不直接玩,https://tieba.baidu.com/p/7293090046
72,让时间说真话虽然我也怕,https://tieba.baidu.com/p/7346426875
73,你如何回忆我,https://tieba.baidu.com/p/7346420904
74,上路玩AD还要带个虚弱？你真的快乐吗？,https://tieba.baidu.com/p/7332670827
75,覆水难收 绝望难救,https://tieba.baidu.com/p/7346417585
76,寻战友，重谢！,https://tieba.baidu.com/p/7346415990
77,哪位兄弟知道这款三国的名字？麻烦告知下,https://tieba.baidu.com/p/7346416066
78,1区内战招人 赢了有奖励,https://tieba.baidu.com/p/7340079577
79,我今天接了个单子，单子打完得100 然后这个人我陪他打完,https://tieba.baidu.com/p/7344480350
80,艾欧尼亚也太恐怖了吧,https://tieba.baidu.com/p/7323316894
81,你回头看看我<br>不了,https://tieba.baidu.com/p/7346413124
82,世上好友众多独不缺我,https://tieba.baidu.com/p/7346409919
83,黑色玫瑰电信十区开黑群+56228262没事一起玩玩吹吹水兄弟们赶紧,https://tieba.baidu.com/p/7346406987
84,以后的投降可以看出来是谁没点了？？ 可以看到英雄的头像，这功能,https://tieba.baidu.com/p/7343972022
85,我很喜欢theshy，但我怀疑他打假赛,https://tieba.baidu.com/p/7286440569
86,看到了吗，14级的卡兹克被12级的沃里克追着打，该选什么不用,https://tieba.baidu.com/p/7340250028
87,有一起打游戏的吗,https://tieba.baidu.com/p/7346404224
88,好家伙，shy哥还搁这做生意呢？边开玩笑边赚差价,https://tieba.baidu.com/p/7345078955
89,不容易不容易,https://tieba.baidu.com/p/7346401168
90,这视野卡的整得跟开了透视似的,https://tieba.baidu.com/p/7342444762
91,电竞选手来了 冲冲冲,https://tieba.baidu.com/p/7346396500
92,慷,https://tieba.baidu.com/p/7346397378
93,谁有卡莎至臻 第一代那个,https://tieba.baidu.com/p/7322590786
94,为什么2021年了，上不去分还那么多借口呢？,https://tieba.baidu.com/p/7272005304
95,筛,https://tieba.baidu.com/p/7346393500
96,哈哈哈这就是豚豚变脸的速度吗？,https://tieba.baidu.com/p/7228830255
97,你残血是健康的，人家满血是斩杀线,https://tieba.baidu.com/p/7294844278
98,对面狗头叠1K层了，所以我们只好……,https://tieba.baidu.com/p/7345622910
99,可曾听闻98k,https://tieba.baidu.com/p/7234159748
100,发誓说不会走远的人 找到借口站在隔岸,https://tieba.baidu.com/p/7346387452
101,时光带走了年少轻狂，也慢慢沉淀了冷暖自知,https://tieba.baidu.com/p/7346385932
102,精神小妹儿,https://tieba.baidu.com/p/7346385838
103,你的负担将变成礼物，你受的苦将照亮你的路,https://tieba.baidu.com/p/7346382967
104,坑,https://tieba.baidu.com/p/7346382322
105,吸血鬼：来来来，吸血鬼你来当,https://tieba.baidu.com/p/7335150189
106,经验消失之术？,https://tieba.baidu.com/p/7346381279
107,提问,https://tieba.baidu.com/p/7346379754
108,我叫莎弥拉别拖我后腿就行,https://tieba.baidu.com/p/7238118765
109,这个游戏是真的好难啊，打好多年，终于是要放弃了么，感觉很无奈,https://tieba.baidu.com/p/7345192814
110,【吧务公告】英雄联盟举报脚本、lol外挂脚本专贴。,https://tieba.baidu.com/p/6117560578
111,让你见识一下什么是坚毅不倒,https://tieba.baidu.com/p/7245814661
112,打了十年，还是在毒瘤段位，我是不是已经废了,https://tieba.baidu.com/p/7345880636
113,经典刀妹打不过诺手，诺手打不过刀妹,https://tieba.baidu.com/p/7323185407
114,优,https://tieba.baidu.com/p/7346371249
115,UZI被国服第一机器人勾到崩溃：这凭什么能钩中我啊？,https://tieba.baidu.com/p/7320864816
116,家人们我让网吧老板给撵出来了。。,https://tieba.baidu.com/p/7305918233
117,5月14日RNG对阵DK,https://tieba.baidu.com/p/7346079944
118,艾欧尼亚来个野王求带上钻,https://tieba.baidu.com/p/7346361779
119,确实真的太像琴女了，而且各方面都比琴女强,https://tieba.baidu.com/p/7297661176
120,前面阴阳怪气的人脸都肿了,https://tieba.baidu.com/p/7346359152
121,哈哈哈,https://tieba.baidu.com/p/7346352493
122,现在都这样子了？把把几分钟几十分钟？只有5排能秒？,https://tieba.baidu.com/p/7346350816
123,找个玩adc厉害的师傅,https://tieba.baidu.com/p/7346350336
124,Uzi本命薇恩惨遭针对，大逆风依旧操作起来，四杀！小狗：我太猛了,https://tieba.baidu.com/p/7346317997
125,我一个不主玩洛手的都知道洛手e可以中断鸟的e，你却一次也舍不,https://tieba.baidu.com/p/7312475232
126,夯,https://tieba.baidu.com/p/7346344958
127,乐芙兰:峡谷有不干净的东西,https://tieba.baidu.com/p/7344196258
128,腾讯现在为了挣钱，脸都不要了？,https://tieba.baidu.com/p/7267571482
129,大佬们，问个问题,https://tieba.baidu.com/p/7346341184
130,发誓说不会走远的人 找到借口站在隔岸,https://tieba.baidu.com/p/7346341018
131,多少沾点,https://tieba.baidu.com/p/7344436316
